Start Date,End Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Dec-22,Dec-22,182,165.6,168.6,164.1,178.1,203.9,244.9,299.4,334.4,371,393.4,384.3,388.4,403,424.5,418.5,406.5,384,354.3,323.9,310.9,288.3,259.5,211.4
Jan-23,Jan-23,170.1,151.9,149.5,152.9,157.4,192.3,232.1,282,320.2,367.4,387,375.5,386.4,404.7,426.8,438,423.7,388.5,360.8,332.9,328.3,299.3,265.6,204.5
Feb-23,Feb-23,171.9,162.5,158.1,161.1,167,190.3,234.5,269.6,320.1,368.7,384.8,364.7,365.8,379.5,420.6,423,406.5,373,349.4,323.3,305.2,285.1,247.6,209.5
Mar-23,Mar-23,155.4,145.4,144.4,147.1,153.2,173.1,217.8,256.6,302.3,348.1,355.8,341.2,347.5,382.4,391.4,393.8,374.2,339.9,315.9,303.7,285.2,254.3,225.7,174.2
Apr-23,Apr-23,120.1,113.9,121.9,124.1,124.7,151.8,209.8,250.9,270.8,286.3,269.5,280.5,291.8,316.8,325.4,308.5,277.1,255.7,246.2,239.7,228.2,202.8,160.6,130.7
May-23,May-23,104.4,98.2,107.5,108.6,116.7,146.6,191.6,237,252.3,279,264.4,271,283.5,298.1,296.6,292.5,253.3,242.5,222.7,215.9,205.2,178.2,144,117.7
Jun-23,Jun-23,100.4,99.6,105.2,107.5,112.9,144,195.7,239.3,254.9,269.6,264.7,262.7,280.9,292.1,284.7,278.6,252.8,234.3,222.7,211.9,199.2,176.1,139.2,115
Jul-23,Jul-23,98.8,98.1,100.1,103.5,111.6,137,181.4,225.8,245.9,260.6,250.7,255.4,273.4,279.2,280.9,275.1,242.1,221.9,211.2,201.3,190.7,165.9,133.3,112.4
Aug-23,Aug-23,92.4,91.4,98,104.3,107.1,132.1,177.5,215.1,236.2,257.2,240.4,248.4,255,273.2,282,263.3,231.5,218.3,214.8,197.7,180.6,163.6,127.2,108.2
Sep-23,Sep-23,88.2,85.7,88.6,97.3,99.6,119,168.7,205.9,228,242.2,230.1,228.7,248.7,263.4,266.8,246.3,222,204.2,197,185.6,176.9,150.4,116.1,97.6
Oct-23,Oct-23,90.3,90.3,95.4,98.6,105.6,125.1,174.7,213.8,232.4,248.2,244.6,241.9,251.7,278.2,283.2,263.5,233.1,217.3,208.1,197.7,188.4,161.6,125.4,104
Nov-23,Nov-23,99.7,96.9,106,104.5,102.5,120.3,152.5,178.9,205.8,237.3,247.7,232,234.7,246.3,271.2,265.8,250.3,226,205.3,198,190.9,172.6,147.8,124.3
Dec-23,Dec-23,91.9,81.2,90.1,90,90.4,103.9,130,155,166.5,196.2,205.8,198.9,197.3,206.1,215.1,214.3,207.8,189.7,178,164.4,158.6,149.7,127.7,105.2
Jan-24,Jan-24,93.5,92.6,94.4,91.2,95,111.1,134.4,163.5,182.8,213.5,228.3,214.8,219.1,222.3,236.8,250.8,237.2,216.6,198.9,186.1,175.6,167.9,143.8,113.9
Feb-24,Feb-24,99.3,89.8,90.9,91.6,96.7,108.9,141.6,170.6,187.6,222.6,235.4,220.7,227.9,232.7,249.5,250.9,242,223.9,196.7,187.4,179.1,169.2,144.7,118.4
Mar-24,Mar-24,94.8,90.6,92.8,91.7,93.2,106.8,134.6,159.5,182.1,212.4,224.9,215.4,216.1,228.6,233.9,235.5,222.4,200.2,180.9,177.2,168.7,152.9,132.1,104.7
Apr-24,Apr-24,77.4,77.6,82.8,88.9,95.1,113,151.1,182.1,199.7,213.3,209.5,202.7,213.8,226.4,233.9,227.8,198.1,185.8,179.8,166.1,150.3,134.1,113.3,88.7
May-24,May-24,68.2,71.9,78.8,80,86.1,106.9,145.5,177.4,187.5,206.1,196.1,197.7,200.8,212.5,217.2,204.7,180,170.5,162.4,157.2,143.6,126,99.8,78.7
Jun-24,Jun-24,60.7,60.1,65.9,67.4,73.3,92.1,121.2,149.5,158.7,175.2,167,162.8,171,182.2,182.3,173,152.4,136.7,129.7,124.9,116.8,101.9,85.2,67.9
Jul-24,Jul-24,55.8,58.2,63.3,64.9,70.1,85.5,118.6,139.3,158.5,170.5,160.8,160.1,169.8,173.6,175.9,168.9,147.1,134.8,128.4,118.7,110.2,100.5,81.8,66.2
Aug-24,Aug-24,51.6,51.5,60.8,59,62.7,74.6,105.9,135.4,142.3,154.7,149.4,146.4,154.5,158.1,164.1,154,137.6,127.9,116.4,112.5,106.2,93.9,74.4,63.4
Sep-24,Sep-24,47.5,50.3,56.4,59.1,63.9,79.1,102.2,129.2,137.3,153.4,137.1,136.5,142.2,156.2,161.1,144.4,129.5,120.8,108.4,107.4,102.7,87.6,67.3,56.9
