Tag,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24
python,15547,14429,12489,12368,9822,9181,8747,8705,8003,6973,8440,7988,6779,7335,7165,7204,7025,6677,4914,5062,4549,4167
javascript,10069,9668,8172,8237,6401,5887,5644,5737,5078,4491,5042,4876,4622,4868,4293,4580,4063,3844,2872,2806,2534,2452
java,4721,4499,3921,4307,3513,3157,3226,3053,2959,2672,3190,3139,2483,2732,2516,2746,2470,2188,1636,1477,1238,1554
c#,4583,4552,3942,4077,3230,3101,3148,3159,3021,2637,2977,2946,2575,2549,2429,2526,2618,2392,1896,2030,1859,1673
html,3950,3604,3133,3281,2595,2512,2170,2229,2016,1776,2115,1803,1741,1834,1697,1738,1621,1442,1195,1078,1035,987
reactjs,5518,5298,4594,4531,3570,3331,3345,3413,3128,2594,3213,3054,2797,3021,2726,2823,2595,2476,1843,1839,1629,1504
android,2813,2846,2440,2579,2133,2072,2013,1858,1974,1855,2485,2360,2165,2291,2111,2198,1983,2036,1526,1600,1505,1456
php,2329,2435,1934,1808,1548,1568,1495,1405,1450,1380,1402,1337,1168,1327,1196,1335,1123,1110,927,844,821,744
python-3.x,2189,2001,1695,1743,1429,1253,1096,1195,1003,,1090,1021,857,972,902,,,,,,,
c++,2552,2320,1953,2258,1733,1577,1592,1609,1470,1359,1621,1398,1380,1498,1342,1288,1260,1376,1030,1091,1027,1139
r,3157,3100,3132,3172,2549,2292,2125,1947,1933,1720,1957,1904,1574,1714,1662,1659,1471,1336,1073,1017,877,794
node.js,2923,2743,2337,2224,1873,1661,1773,1770,1499,1436,1662,1618,1517,1592,1479,1635,1441,1369,1036,1089,891,886
css,2932,2788,2494,2476,1956,1941,1738,1870,1709,1407,1698,1412,1335,1440,1335,1372,1263,1135,988,879,842,793
pandas,2795,2553,2204,2160,1523,1367,1303,1217,1083,936,,,,,,,,,,,,
sql,2509,2407,2099,2252,1602,1519,1542,1302,1193,1182,1155,1171,1000,1039,1017,961,934,912,710,682,625,628
angular,,1630,1454,1363,1120,1247,997,1033,1019,967,1160,1159,1007,1185,1041,1047,1067,953,848,851,709,663
flutter,2826,2899,2401,2407,1885,1762,1660,1706,1736,1488,1910,1789,1729,1845,1592,1751,1515,1551,1135,1187,1105,1008
arrays,1663,1468,,,,,,,,,,,,,,,,,,,,
django,,,,,,,,,,,,,,,,,,,,,,
mysql,,,,,,,,,,,,,,,,,,,,,,
reactjs,,,,,,,,,,,,,,,,,,,,,,
jquery,,,,,,,,,,,,,,,,,,,,,,
ios,,,,,,,,,,,,,,,,,,,,,692,
swift,,,,,,,,,,,,,,,,,,,,,,
typescript,2661,2605,2365,2410,1922,1823,1658,1831,1762,1616,1741,1673,1515,1593,1494,1579,1430,1312,1129,1151,1024,953
dataframe,1791,1642,1439,1383,,,,,,,,,,,,,,,,,,
c,,1682,,,1065,,,,,,,,,,,,,,,,,
spring-boot,,,1422,1464,1159,1089,1073,1120,1056,945,1172,1084,983,1058,1014,981,980,929,744,677,581,663
docker,,,,,,982,,,,886,,,863,951,916,,844,,652,,576,
excel,,,,,,,990,,,894,1032,1038,,,,917,,,,653,,580
next.js,,,,,,,,1002,979,,1048,1019,959,1095,1033,1111,1013,987,760,804,679,582
azure,,,,,,,,,,,,,,,,909,916,801,706,689,621,
react-native,,,,,,,,,,,,,,,,,,844,,,,
