Start Date,End Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Dec-18,Dec-18,251.2,236.7,236.5,249.5,261.7,314.5,385.7,418.6,448.5,539.9,577.6,554.5,544.6,562.6,574.6,572.6,565.2,508,472.7,460.6,436.2,412.8,373.2,302.7
Jan-19,Jan-19,278.6,256,255.5,251.1,269.8,329.8,414.6,456.9,497,614.1,647.8,613.9,617.2,639.8,658,654,643.9,574.7,530.7,518.2,495.4,478.5,414.3,338.4
Feb-19,Feb-19,295.7,275.1,280,284.1,299.8,377.6,457.4,498.6,554.6,662.3,702.1,668.6,664.9,675.6,711.1,717.5,685.9,612,586.1,563.5,543,499.6,438.7,355.4
Mar-19,Mar-19,296.5,280.2,284,287.6,307.3,370.8,450.5,506.8,557.4,665.6,697,666.9,671.6,713.7,759.3,737.9,695.7,626.3,587.7,555.9,527.7,478.9,421.2,343.2
Apr-19,Apr-19,246.8,243.4,260.6,280.8,307.2,374.8,484,566.8,618.7,684.4,664.7,656.8,670.2,713.9,726.7,680.6,609.3,562.6,555.8,527.9,495.6,435.3,349.3,286.3
May-19,May-19,238.5,227.4,244.3,262,294.1,360.6,474.4,553.2,591.7,671.5,643,629.4,652.4,672.6,691.7,647,553.8,526.9,512.5,497.1,478.4,400.3,324.1,266.8
Jun-19,Jun-19,217.4,215.5,228.7,240.4,280.7,352.9,458.9,535.3,564.2,621.7,604.6,593.7,623.4,652.8,653.8,624.9,536.1,495.9,489.8,467.6,439,382.6,299.5,245.7
Jul-19,Jul-19,215.4,214.1,238.6,250.9,286.9,361.7,481.7,570.8,611.9,677.5,651,639,659.7,692.4,693.1,643.3,544.1,512.1,503.1,483.8,449.5,378.8,307.8,251.4
Aug-19,Aug-19,210.2,213.2,226.5,237,266.3,332.6,451.7,532.2,563.1,623.9,603.5,595.4,611.3,661.9,655.3,612.4,532.3,496.3,487.9,465.5,436.1,374.2,291.7,239
Sep-19,Sep-19,210,216.9,240.6,254.3,276.2,341.6,452.5,540.9,575.9,621.7,604.8,601.6,610.9,653.6,651.9,603.6,537,488.9,490.5,457.7,431.8,365.9,287.3,234.4
Oct-19,Oct-19,234.6,235.1,253.1,258.4,291.3,352.3,459,544.7,590.2,656.5,638.6,626.9,650.5,693.9,690.1,669,580.5,548.6,530.7,514.4,482.8,411,331,268.7
Nov-19,Nov-19,274.9,259.7,271.3,279.8,297.6,361,438.2,501.4,539.6,648.9,677.4,652.9,649.6,661.2,685.8,692,654.2,584.7,532.7,520.7,486,459.3,391.7,320.8
Dec-19,Dec-19,238.8,221.9,234.8,244.9,258.9,311.8,393.7,428,457.9,546.6,584.7,567,558,568.8,584.2,583.3,566.4,505.2,467.2,446.6,423.6,398.2,350.4,289.8
Jan-20,Jan-20,261,237,241.1,246.2,261.9,327.3,400.2,447.8,488.5,597.6,619.2,601.6,601.4,626,642.2,651.1,639.6,562.3,523.3,502.4,480.4,453,398.1,315.7
Feb-20,Feb-20,271.6,252.3,252.3,269.5,291.1,353.7,427.7,487.9,524.4,645.6,672.5,626.7,635.3,661.9,690.7,703.4,658.4,595.7,544.7,518.2,513.6,474.3,410.6,337.7
Mar-20,Mar-20,271.8,251.5,256.3,266.5,273.8,312.9,381.6,436.8,492.7,574.4,610.2,596.9,612.9,634,652.1,683.3,643.5,613.1,553.9,527.4,496.3,451.3,389.2,325.7
Apr-20,Apr-20,321.9,305.7,318.6,326.9,342.6,391.6,485.6,585.4,631.9,689.5,697.6,707.1,729.3,770.3,821.9,791.4,747.4,725.9,705.1,681.3,630.9,550.3,460.9,386.1
May-20,May-20,344.1,336.1,334.7,355.3,354.3,413.1,497,590.9,655.3,696.5,705.3,702.5,721.1,768.5,811.5,806.5,755.5,717.6,704.4,657.2,624.3,559.5,475.1,394.7
Jun-20,Jun-20,297.2,294.9,304,324.1,345,415.1,492.1,581,634.9,675.2,666.7,671.1,698.3,746.5,771.8,762.2,713.4,681.2,639.4,612.2,571.9,506.9,431.5,345.2
Jul-20,Jul-20,277.3,280.4,294.6,306.6,332.5,382.2,478,571.8,632.4,648.8,639.9,636.6,669.9,711.4,741,703.6,651,632.2,592.8,564.8,528.3,471.3,389.4,314.1
Aug-20,Aug-20,252.2,250.9,262.2,279,294.1,346.5,422.3,513.9,559.3,579.5,570.6,568.3,598.7,637.2,660.2,642.5,594.3,561.7,529.4,506.9,461,413.7,348.2,285.7
Sep-20,Sep-20,237.9,232.6,249.6,272.2,293.3,338.3,435.1,510.1,567,594.9,574.7,575.7,593.7,636.8,647,616.7,573,532.1,515,491.4,454.3,398.8,325.9,263
