Start Date,End Date,Num posts,Avg num of posts per day
Dec-18,Dec-18,307828,10261
Jan-19,Jan-19,343456,11449
Feb-19,Feb-19,335057,12410
Mar-19,Mar-19,374700,12490
Apr-19,Apr-19,348084,12003
May-19,May-19,342417,11414
Jun-19,Jun-19,313933,10825
Jul-19,Jul-19,339572,11319
Aug-19,Aug-19,321592,10720
Sep-19,Sep-19,311774,10751
Oct-19,Oct-19,345366,11512
Nov-19,Nov-19,343404,11842
Dec-19,Dec-19,306925,10231
Jan-20,Jan-20,333749,11125
Feb-20,Feb-20,319135,11820
Mar-20,Mar-20,339246,11308
Apr-20,Apr-20,400351,13805
May-20,May-20,419437,13981
Jun-20,Jun-20,382283,13182
Jul-20,Jul-20,373541,12451
Aug-20,Aug-20,334163,11139
Sep-20,Sep-20,316956,10930
