Tag,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
python,15313,16200,16704,19433,19031,18255,16843,18884,17647,16160,19644,20075,17623,19186,18782,28623,21614,28623,26115,25405,22147,20868
javascript,13927,15410,14970,16945,15538,15592,14491,15481,14889,14289,15384,15352,13848,15410,14746,20961,16772,20961,18987,19175,17414,16023
java,10185,10560,10541,11725,10715,10658,9426,10337,8882,9242,10768,10071,8755,9538,9427,11694,10576,11694,10378,10108,8930,8528
c#,7328,8366,7956,8773,8737,8717,7462,8059,7564,7554,8088,7847,7007,7482,7259,8380,7446,8380,7588,7513,6796,6179
html,5797,6349,6111,7146,6418,6301,5820,6487,5752,5565,6060,6099,5626,6101,5758,8330,6588,8330,7507,7469,6640,6205
reactjs,,,4312,4937,4485,4787,,4914,4922,4758,,,4979,5710,5441,8122,6312,8122,7662,7823,7020,6655
android,6844,7206,6968,7716,6940,6806,6744,7702,6590,6236,6664,6523,5778,6517,5903,7112,6481,7112,6445,6296,5407,5166
php,6056,6867,6954,7590,6894,6722,5874,6376,5667,5303,5801,5946,5082,5692,5283,6355,5460,6355,5692,5750,4780,4558
python-3.x,4155,4474,4310,4982,5387,5007,4548,5382,5080,4625,5315,4969,4392,4689,4588,6288,4727,6288,5782,5709,4925,4321
c++,3465,3733,3580,4286,4213,3981,3572,4114,3217,3624,4660,4609,4084,4069,3795,6220,4399,6220,5421,5003,4609,3765
r,3343,3748,4047,4401,4417,4146,3875,4032,3893,3775,4229,4188,3654,3989,4412,5889,4864,5889,5241,4784,4330,4586
node.js,3521,3938,3722,4173,4048,4040,3769,4039,3786,3584,3868,4008,3597,4194,3750,5735,4368,5735,5072,5238,4874,4535
css,3677,4299,4134,4657,4121,4083,3692,4140,3996,3740,4003,3846,3553,3960,3708,5476,4318,5476,4996,4899,4615,4211
pandas,,2688,2818,3202,3085,3075,2842,3311,3328,2888,3581,3417,3235,3606,3523,4866,3755,4866,4667,4487,3876,3745
sql,3508,3877,4014,4538,4088,3946,3533,3983,3549,3778,4256,4335,3838,4026,4086,4759,4342,4759,4428,4249,3700,3995
angular,3830,4193,4196,4661,4109,4173,4005,4122,3737,3818,4044,4166,3617,3590,3736,4223,3802,4223,3722,3941,3204,3061
flutter,,,,,,,,,,,,,,,,3668,,3668,3400,3170,3227,2867
arrays,2467,,,2847,,,,,,,,2837,2469,,2714,3632,2871,3632,3106,3034,2705,2615
django,,,,,,,,,,,,,,,,3459,2759,3459,3044,3395,2847,2511
mysql,3075,3304,3288,3810,3342,3205,2724,3017,2699,2563,3024,3136,2676,2891,2855,3443,3128,3443,,,,
reactjs,3810,4302,,,,,4428,,,,5208,5329,,,,,,,,,,
jquery,3148,3442,3264,3635,3397,3195,2859,3258,2839,2789,2835,2786,2497,2806,,2701,,,,,,
ios,2809,2829,2592,,2714,2721,2519,2622,2313,2429,3001,,,2638,,,,,,,,
swift,2712,2805,2591,2874,2963,2987,3012,2929,2475,2430,2979,2792,2574,2781,,2568,2785,,3029,,,
typescript,,,,,,,,,,,,,,,,,,,,3017,2712,2668
